company_name;company_city;company_state;company_type;const_site_category
DM Company Head Quarters;Goiania;GOIAS;Administration;
DM Company Development Center;Goiania;GOIAS;Development Center;
The Haven at Rocky Ridge;Anapolis;GOIAS;Construction Site s;Residential
DM Company RH Center;Goiania;GOIAS;Administration;
DM Company Administration Center;Goiania;GOIAS;Administration;
The Grove at Parkside;Palmas;Tocantins;Construction Site;Residential
The Heights at Riverfront;Palmas;Tocantins;Construction Site;Residential
The Summit at Laurel Canyon;Palmas;Tocantins;Construction Site;Commercial
The Enclave at Stonebridge;Palmas;Tocantins;Construction Site;Residential
The Residences at Westlake;Goianiaa;GOIAS;Construction Sites;Residential
The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential
The Arbors at Willow Creek;Goiania;GOIAS;Construction Site;Commerciall
The Retreat at Oak Forest;Brasilia;Distrito Federal;Construction Site;Residential
The Villas at Hunter's Glen;Palmas;Tocantins;Construction Site;Commercial
The Parkview at Golden Gate;Goiania;GOIAS;Construction Site;Residential
The Pines at Windward;Goiania;GOIAS;Construction Site;Residential
The Greens at Fairway Hills;Goiania;GOIAS;Construction Site;Commercial
The Crossings at Falcon Point;Brasilia;Distrito Federal;Construction Site;Residential
The Terraces at Diamond Heights;Goiania;GOIAS;Construction Site;Residential
The Oasis at Desert Springs;Palmas;Tocantins;Construction Site;Residential
The Landings at Ocean Breeze;Goiania;GOIAS;Construction Site;Residential
Regional Hospital;Goiania;GOIAS;Construction Site;Hospital
The Sanctuary at Briarcliff;Brasilia;Distrito Federal;Construction Site;Residential
The Waters at Lake Austin;Brasilia;Distrito Federal;Construction Site;Residential
The Glades at Maplewood;Goiania;GOIAS;Construction Site;Commercial
